,cleaned_review,cleaned_review_length,review_score
10306,the second we plug the mic into the xbox controller the controller turns off when we take it out the controller turns back on tried it with all of our controllers bogus do not buy ,35,4.0
762,very nice responsive,3,5.0
9832,update one of the keyboards was dropped once and the spacebar ceased to function that was total loss the other one bought lasted years and worked great during that time then the spacebar also stopped working was not dropped paid for it and it now so opted for different model this time and like it very much it asin bmqhh if you want to search it previous review not sure if this is really gaming keyboard but needed something that lights up when all my lights are out this does the job do wish it ran on batteries but hopefully the charging connector won poop out on me one charge lasted quite while my favorite part of this keyboard is the light noise the keys make the spacebar is bit noisier but the rest of the buttons have pleasant tapping sound without being very clacky like some gaming keyboards waited about months for prices to go down and ordered to of these by accident when found the deal keeping both ,170,5.0
8440,i bought this in june it is october now the left side of my keyboard keys work intermittently which is annoying when typing paragraph or more and it is filled with mistakes think the rest is going to fail soon complete waste of you can find something better ,48,1.0
15115,this is everything was looking for but after having it if there was one thing can add it would be button to forward skip to the next song but that just first world problem like said it was everything was looking for ,42,5.0
4001,love the slimness of this mouse and colors works really well and charging by usb is so easy ,18,5.0
7456,this thing is so smooth and so awesome highly recommend ,10,5.0
14251,my last charge was lost stolen had no hesitation buying another just great speaker for most occasions ,17,5.0
17175,great sound and battery life the base was very impressive for speaker this size took it into the pool with no worries the feature of it being used as charger also came in handy recommend this speaker ,37,5.0
17064,loud enough for what needed it for battery life depends on how loud you use it don forget to turn it off when you are not using it and the battery will last longer ,34,5.0
6326,i like that this mouse has sleek look to it slim ergonomic good quality not cheap looking like the color options available very easy set up ve been using it for couple of weeks now and it works great have not used it for gaming great price and will likely buy my next mouse for different computer have from the same place ,62,5.0
13673,bought it for my son he loves it great quality works great for playstation ,14,5.0
1198,the wheel on this mouse if very flimsy it has failed on two of the devices ordered would not recommend this product it not even suitable for the lightest of duties ,31,1.0
13307,for the price it very good quality its not too heavy but not so light that it feels cheap like the cord length and the cushions feel good on my ears ,31,1.0
11108,pros sound quality is decent the in line volume control is convenient and they look really cool cons at least my particular headset had constant static noise even when use the mute switch on the volume control actually had to unplug the mic cable when was playing as to not annoy the other players ,54,5.0
4910,simple book up and very responsive sturdy construction beautiful light display and worth every penny just as good if not better than the more expensive brands ,26,2.0
2573,it is nothing like it advertised ve charged it then it wouldn work so charged it again and it still not doing anything so aggravated ,25,1.0
8536,keyboard was for dual purpose but one was to use for my office computer keys are nice and quiet but very responsive nice looking obnoxious glow adds little flare to my work station ,33,5.0
14022,just got this and let see if it worth it wil come back to leave the after use review,19,5.0
9364,good keyboard just make sure you do not loose that charger or you will have hard time charging it ,19,4.0
14168,decided to upgrade to this one after having my headset for years worth it ,14,5.0
5414,battery charge lasts many many days,6,1.0
8727,lights look great last long ,5,5.0
14994,amazing speaker with even better connectivity only complaint is sound is not too crisp or loud overall amazing speaker and would recommend to buy ,24,5.0
11571,cheap plastic breaks very poor design penny wise hundred stupid return games with ups gas burned life wasted heartbroken birthday gift paper wasted stress the arm holing microphone moveable to adjust snapped off was taped on better and stronger then the whole thing combined looks great blue lights not ,49,5.0
811,i use this mouse all day every day at my desk job and have had to charge maybe once week it never dies on me just take it upon myself keep it on the regular mouse mode as don need all of the colors flashing but have no complaints,49,1.0
8703,i purchased this keyboard months ago it performed well for the price but it just died for no reason at all ,21,5.0
15397,amazing sound ,2,5.0
10298,they were decently sounding with good amount of noise cancellation however these were more intended for pc because there is two cords one for sound and one for the lights the cord is too short to connect it to the ps also the cord is big and gets in the way too much while gaming ,55,5.0
8908,i only bought this for the silent keys have newborn baby and needed silent clicks but this keyboard was more loud than my current gaming keyboard if you need reviews on anything else please read elsewhere didn even connect it simply started typing and was disappointed stars being generousmaybe the company is comparing their keys to mechanical stroke keyboard if that were the case then every keyboard would be silent compared to those ,73,5.0
11863,these headphones are great value for the price of once put the headphones on was so surprised of the sound quality and noise reduction first listened to music on it and it was not so bad then started playing video games and it was better than headset got then returned on amazon ,52,5.0
9023,the best,2,1.0
16563,good portable speaker the only thing and imagine it happens to all portables the load is directly proportional to the level of volume you use if you use it low average lasts three days or more if you use it at full power three or four hours at most in general good sound and meets what is offered ,58,2.0
9512,i have been using this keyboard for almost and half months and at first issues with finding the on off switch for turning on wireless and had to have both plugged into my computer for wireless and charging after found the switch on the back it made everything easier and more convenient would recommend this to anyone looking for good wireless keyboard with long battery life ,66,5.0
514,easy to use and lite weight will purchase another one soon,11,1.0
11480,absolute garbage ,2,3.0
7078,iupdated returned and bought another as really liked the way it fit my hand etc the first one didn get charged til it was out and then wouldn recharge after it died ve plugged this one to charge more frequently and am happy to keep it not going to let it die cuz don want to suffer finding out it design flaw on the other hand could have just been the one first bought am so disappointed received my pretty mouse charged it and love it fits my small hands no clicking sounds easy to use received it around july today is july and the cursor won work hadn charged it so plugged it in to charge the wheel still works but the clicker won work when press it nothing happens would exchange it for new one but then don have many days left to see if it works and really don want to take chance on losing my money these mice seem to work great for some and don work for some may figure out which credit card gives year warranty beyond the normal one which is non existent at least could try again ,195,5.0
5994,cool item easy to set up very pretty ,8,1.0
11291,these do not work waste of money no sound at all ,11,2.0
452,i started using this product exactly month ago it will not work now unless it plugged into the charger which defeats the purpose of wireless mouse can recommend ,28,1.0
13224,mine was broken when got it,6,4.0
12802,ear pads are very small must be made for little kids ears mic is short but overall sound is good wish it had clip for the controls ,27,4.0
13434,works fine feels comfortable worth its price ,7,5.0
14952,sounds good perfect for my fishing boat,7,5.0
2277,love this mouse it the coolest one ve ever had you can go wrong with this item,17,5.0
8982,battery finally died for the first time after about weeks sets the bar pretty high resistance is perfect and not loudkeys are bright enough to be cool and visible but not blinding in the dark charges relatively fast and you can use it while charging first delivery didn show up but amazon worked it out with me ,57,1.0
6858,got this for great price the size is perfect for my hands and is easy setup ,16,1.0
3627,the mouse lasted one day changed the battery it still wont turn on urrgggg ,14,5.0
3456,that it is rechargeable and slim and good buttons make it super,12,5.0
11460,worth it if you need cheap pair,7,5.0
2317,it really waste of money bought it in august and started falling apart end of sept and completely broke in nov not worth the money ,25,5.0
7652,like it,2,4.0
12155,so good for gaming the quality is so good highly recommend it ,12,5.0
8042,this mouse is very quiet just as advertised was shocked at the lack of clicking when you push the right or left side that was my main push to purchase besides the cool colors and led lights must say those are just an aestetic bonus but it kind of makes working fun this mouse is plastic so the gold tone you see is gold plastic and the underbelly is white plastic it charges fast and it responds just as quickly as my older battery powered wireless mouse overall this mouse is really great am glad bought it and if you are sitting on the fence just go ahead and get it ,111,5.0
16659,i really wasnt expecting this to sound and be as good as it is can literally hear the speaker from outside my house while the bass is the main star of the show it leaves me little disappointed that the treble and other minor but important rythms get drowned out lot of the time it could also be the music play so cant fault it too much overall really glad got what paid for and bit more as well,79,5.0
12488,overall comfortable headset with sensitive omni directional mic bit too sensitive at times great price point and aesthetic ,18,4.0
6301,this mouse is very slow in reaction not sensitive to the movement and make my hand tiring already after minutes usage too bad only start using it after the return window closed ,32,4.0
16182,the sound of these speakers are mediocre to poor the bluetooth connection continually misfires and sound dissolves into static was surprised that this kind of speaker gets good marks ,29,5.0
8297,it shame because love it but the keyboard has problems with several keys so far have verified that the keys and fail in the case of it sometimes works but not many,32,1.0
12825,love the headset works great and does the job would definitely recommend to buy for all gaming and headset needs,20,5.0
1947,i was saddened when the product didn work at all my kids needed new wireless mouse and they did everything they were supposed to do and it didn work at all will not be buying again ,36,1.0
16929,i like everything,3,5.0
2386,barely worked for few hours and died,7,1.0
5439,perfect mouse for laptop ve been using it for little over months usually for few hours everyday and haven changed to batteries yet the only problem have is love watching the colors change so much start to zone out on my work time very relaxing ,45,5.0
3083,it jus dies really quick but mabye that cuz leave it on and walk away cuz when done using it like to walk back into my room with it still on but otherwise love it,35,2.0
3953,it good mouse ,3,5.0
1642,i knew what was getting myself into reading the bad reviews it stops working in few weeks usually hedge my bets especially when product has so many reviews that end up with star rating alas lost this bet the scroll function key feature look for in buying mice stopped responding after few weeks fluke should buy scratcher if so because bought two one white one black and they both failed around the same time wondering if this is actually engineered to perform this way though as seeing many other reviews doing the same thing but people being bribed for star if replaced quite genius actually if you get angry customers to review it promotes product engagement but then the rating can be manipulated by replacing the cheap product and soliciting star review if this indeed is the case bravo brilliant way to get as many positive reviews for subpar product ,150,1.0
7682,i had to get another mouse this wouldn respond to clicks or scrolling about of the time even when got the mousepad that improves mouse functioning ,26,1.0
1812,the first mouse lasted months and bought the same mouse to replace it it died within day of using it buy cheap get cheap not worth trying to have it replaced so am sending it back for refund the first one worked great and had satisfying button click shame it didn last very long ,54,4.0
17252,really good,2,5.0
9088,stopped working after months of light use also did not hold charge for long before having to be wired to usb port for charging the rechargeable batteries cannot be replaced would not buy again from this manufacture ,37,5.0
5081,it works very well with my macbook,7,5.0
14951,i love the speaker it great the sound is great upset didn order it sooner ,15,5.0
5003,i enjoyed the look and watching this mouse light up but that is essentially it the battery storage on the mouse is super low so you ll have to plug it in any way after about half hour of use maybe an hour if you turn off the rainbow led light feature the mouse scroll wheel broke on me in middle of game not any aggressive game mind you just house decorating sim and ve hardly used it for the six or so months ve had it to sum up for quick cheap purchase it looks great but isn worth it in the long run and regret not buying different mouse ,111,5.0
13385,great headphones my kid loves it,6,5.0
3425,inexpensive love the changing of colored lights,7,5.0
13060,these sound so good and they are at great price highly recommend,12,5.0
10144,the have great sound and work what need them for also the shipping was quick,15,5.0
6215,good product,2,1.0
16618,looks good and has reasonable weight ,6,3.0
16400,thing sounds great until it shorts literally had the thing month and it shorted out and will not work contacted jbl harmon and was essentially scoffed at since then ve replaced both the battery and motherboard to no avail cannot remember the last time wasted nearly like this ,48,5.0
17211,i purchased the jbl charge because of reviews had also purchased ue megaboom not the newer megaboom the two were equally priced so it came down to sound and features the jbl allows for charging device and for using plug in direct jack instead of bluetooth thought those were more important when ordered it until listened to them side by side had listeners and switched back and forth between them using same songs the other listeners liked the megaboom better but couldn identify why found the megaboom to have tighter bass and much better transparent mids and highs the charge sounded muddy in lows mids highs in comparison alone it can sound okay as long as you don have competitive reference sound quality beat out battery charging and the aux input ,131,5.0
15015,my niece brought this unit to my house for camp out and was so impressed with it that bought one the next day ,23,5.0
3308,don waste your money stopped working after days of use doesn hold charger either ,14,3.0
5251,i work from home and work hours day depending if do overtime or not so needed mouse because my wireless mouse of years was dying now got this mouse in hopes it would work great because of all the reviews the first day got this mouse it was very uncomfortable so right off the bat knew didn like flat mouses because it was cramping my hand second the cursor was glitching unfortunately cannot attach video because it would be on company property and don have personal computer ll have it on one side of the screen and automatically it will go to the other if you like mouses like this and can deal with the glitching then that fine but for me hated it very frustrating ,126,4.0
8673,i ve had this keyboard for while and it finally ran out of battery to my surprise it doesn charge at all tried different chargers and nothing works spend little more and get product that doesn just die forever the first time it runs out of juice ,47,5.0
3119,not sure if the one got was just defective but the tracker did not seem to work very well as an analyst need something with smooth path and this mouse started stopped very abruptly had to return it ,38,1.0
793,was enjoying the use of the mouse until one day the usb stopped being recognized ,15,1.0
561,been trying this for over month now and have only used it handful of times because the charge barely last hours at most even after full charge save your money,30,2.0
5368,this mouse is cheap and like the colors but the laser isn accurate so it can be slow and laggy occasionally its entirely unresponsive ,24,3.0
14524,battery goes dead quickly and not as loud as other brands with same size ,14,5.0
3496, love the fact that this thing is quiet as mouse lol hate the clicking sound on other mouses the other thing love is that it rechargeable no batteries the only con could find is that it is not an ergonomic mouse that the only reason why gave it stars ,49,5.0
12966,my son enjoyed the design ,5,5.0
4768,nice comfy and also very smooth,6,1.0
3297,mine doesn change color but it slim and works awesome,10,5.0
15156,i ve had this speaker for days under year and it won take charge anymore the sound was decent but don recommend that much money should buy batter that lasts longer either cheap parts or bad design ,37,4.0
15320,easy to travel with and use great fun ,8,5.0
1146,use this for my laptop and easy to use and works great very smooth would definitely recommend ,17,5.0
13641,i loved the sound cancelation for the audio and the mic is awesome it also has lights on the side which is cool at night ,25,5.0
6434,i plugged it in and let it charge over night was so excited to use it becuae though it was so cute did not work from day when turned the power on it would flash red then would try to use it and nothing zero zip nothing would work waste of time buying it waste of time trying to get it to work and now waste of time having to return it so very disappointed,75,2.0
8941,it lasted months,3,5.0
2388,its good mouse slim quiet and the battery lasts forever on one charge its not very durable though so don drop it luckily its snaps back in place if you do ,31,1.0
2409,i really like this mouse love that it doesn need batteries you just charge it and it ready to go did have issue with my macbook pro when connecting the adapter for the receiver it comes with to my computer it changed my scrolling ability on my laptop trackpad and wasn able to scroll without using the mouse had to call apple to figure out how to fix it and that when discovered removing the usb adapter the mouse comes with from my computer solved the problem have usb to usb adapter from the mac store so just used that for the mouse receiver and it worked perfectly and it doesn change my scrolling ability with the trackpad at all ,120,2.0
14340,relax on my home,4,5.0
14885,we are listening to our speaker for couple of weeks with one charge at least one hour per day the sound is great clear and may be loud if you want ,31,5.0
15430,this speaker is great my husband uses it almost daily the sound quality is superb and the charge lasts long time we took it on camping trip and it lasted through the weekend on top of charging our phones,39,5.0
3567,i really love this mouse bought it for my office to get rid of the cords the colors are nice and like that it goes to sleep when not in use ve gotten many compliments on it ,37,5.0
16479,great all around speaker sound battery life price and portability ,10,5.0
15036,this thing last forever and the sound is fabulous for music or movie ,13,5.0
522,really liked how light weight the product is however it stopped working after months the battery life was great in the beginning but now it doesn operate even after charging it ,31,5.0
480,i really loved this mouse did not replace it with the same mouse however because the wheel broke only use this device for work not gamer or anything like that ve had wireless mice that do not break for years previously great color very cool looking will miss using this not sure if there is any warranty,57,5.0
16292,loudness good,2,5.0
16903,bought for my son th birthday he loves it great sound quality and battery lasts forever definitely worth the money ,20,5.0
2373,i like this mouse however after one week of use the scroll wheel broke ,14,2.0
10835,their customer service is fantastic absolutely worth it,8,5.0
8392,does what wanted fits the space need it to worked fine with win ,13,4.0
5879,i tried charging this mouse but every time take it off the charger it goes off this was the first time even using it too ,25,1.0
1774,this mouse is very light weight and the added colors make it super cool it also holds charge for very long time which is helpful really great product for the price ,31,4.0
9133,product loos great and it feels awesome however am experiencing huge issue when it comes to the keyboard not responding to me typing have to turn the keyboard off or plug in usb cable to it and sometimes it still acts as if didn enter key this is very frustrating ve checked to see if it was device drivers anything that not updated on my system manufacturer website etc still experiencing this issue does anyone know how to resolve this if so this product would definitely receive tar rating ,89,1.0
10816,it so loud has good bass too was shocked,9,2.0
704,broke after weeks of having it ,6,5.0
15401,battery life is great was on all day full hrs came back next day played again all day then plug it in over night didn want it to go down during the day so that super compared to my bose speaker barely ran hrs volume levels are huge vary lowed on high setting and again much better then my bose speaker will be coming back for another one of these they connect to each other for multi room function also the blue tooth connectivity is great can go any were in the house with my phone and it does not loose connection or get broken up and again this is better speaker than my bose hands down out of my last several speakers this one is the best ,128,5.0
1877,this mouse is true to its description in that it silent and ergonomic but it wasn worth the money for me bought it in april and had to throw it out in january around november of started experiencing issues with charging where have to wriggle the cord around before it would start charging by january it was clear that there was an issue not with the charging cable but with the charging port in the mouse it was loose and wiggly when held the mouse up and it would only charge if held the mouse in my hand and kept the charger pressed in tightly recommend looking elsewhere for cute mouse ,111,5.0
6367,good mouse can use for working at home ordered the rose gold which is pretty cute for desk decor and the lights are fun it functions well and it quiet when you click which is great,36,1.0
14112,headphones are comfortable,3,5.0
4727,it was most important to me to have quiet scrolling mouse for my laptop this mouse has quiet silent scrolling and silent clicking very impressed the mouse is more of flat design the lights around it are pretty neat there is an on off switch on the bottom of the mouse that includes an option for the lights as well nice mouse for great price ,65,1.0
10050,noise canceling is okay heard from friends that the sound quality is kind of bad but for kid teen or if it first headset it good for the price ,29,3.0
15736,i ve had this baby for about year probably more sounds as good as day one perfectly water proof in the shower battery life feels infinite bluetooth connectivity is smooth and fast adore this thing only thing to note is that when you charge your phone with it the battery is drained pretty quick but it charges surprisingly fast it not gonna be enough volume for large party but for get together with friends its more than plenty you can hook up additional speakers if you need extra juice anyway so it not even problem the mono speaker doesn feel mono at all everything sounds on point,107,5.0
5138,the perfect cute little mouse update had this mouse for little less than month which was so perfect and then stopped working definitely wasted my money ,26,5.0
7523,i am just past the return window and of course this doesn work anymore have barely used and haven had that long,22,2.0
4335,this mouse is cheap as heck opened it up and it feels and looks like something good buy from dollar tree ,21,5.0
5489,needed wifi mouse for my hp chromebook liked the fun lights and the price was good set up was quick and easy via bluetooth works great ,26,1.0
13501,i got this head set for my son for his xbox he loves how comfortable it is and he said the sound is amazing he can now chat with his friends while playing his games ,35,5.0
11206,i love this product,4,2.0
1924,this mouse will randomly move the cursor all over the screen every once in while not going to bother returning it because it was so cheap but have stopped using it bought two and they both have this issue ,39,5.0
9863,noticed that after long period of wear the outside of my ears start to hurt ,15,4.0
5356,i liked the color and the lights but unfortunately the scroll wheel went out on me this item only lasted me little over months ,24,4.0
4883,great mouse use it for everything from gaming to normal use recommend it,13,4.0
14910,use it lot listening to music on social media sometimes can be little muddy in sound but that may be the audio system from the social media site otherwise very satisfied there may be larger brands out there at much cheaper prices than the jbl advertising strong bass but the tonal quality of these cheaper speakers is not that great ,60,5.0
14097,good headset,2,5.0
11868,the headphone sound is very good for the price the design is interesting but not to bulky nor slim fits on most heads it good bang for the buck product ,30,5.0
10820,bought the headphones for my year old and he loves them he says the sound is clear and the headphones fit his head perfectly noticed it has some noise cancellation but he can still hear me when speak to him product works well and is durable recommend the buy ,49,5.0
12260,super comfortable headset plugs in and ready to play good value for money ,13,5.0
9242,the keyboard came today and so far really enjoying it looks sleek and feels nice for the price say that this is great buy no problems to report but it only day one came very fast ,36,5.0
8468,new outcome had issues with my st keyboard reached out to the seller and they helped me troubleshoot my device until we figured it needed to be replaced they gladly sent me new keyboard which is now working as expected will definitely recommend this brand old review this keyboard is rechargable and does not have an option fir batteries it worked for month and half it doesnt hold charge mine diesn work at all wasted and now need to buy another keyboard ,82,5.0
4497,you get what you pay for,6,2.0
132,i really liked this mouse when first got it it was low profile had nice soft and quiet click had rainbow lights and was available in rose gold color thought made great purchase now ve had it for less than months and the scroll wheel is so squeaky can stand to hear it when scrolling through documents bummed it was lemon ,61,5.0
16327,great speaker worth the money ,5,5.0
1180,fits the hand charge lasts however the cord that comes with it could be more sturdy ,16,5.0
14965,i am senior citizen and have always considered bose the standard in speakers but this product exceeded my expectations got it refurbished and so it was great bargain works great ,30,5.0
3542,it been about months since bought this the piece that goes into your laptop to make it wireless completely fell apart and mouse no longer clicks would not recommend,29,3.0
16652,excelent sound quality the bass is clear and powerful,9,5.0
8495,very cool keyboard works great but after couple of weeks after return window closed it will only work when plugged into power kinda defeats the point of having wireless keyboard ,30,1.0
1378,i absolutely love this mouse it well built and has so many features that similarly priced mice don have it so whisper quiet and smooth as can be it also rechargable which helps out ton ,35,1.0
965,ergonomic for gaming,3,1.0
6904,the mouse never turned on complete waste of money not happy,11,1.0
9899,given as gift and they love it ,7,5.0
8828,excellent feel but no warning when battery about to die which negates it for competitive gaming enter key also has horrible design and placement for work the dongle does not work if using kvm switch or if direct line of sight is not allowed if you can snag used one for less than new price it may be worth it but would not buy again ,65,5.0
9083,i had this for one day and the connection issues were terrible towards the end it wouldn even type anymore charged it and nothing this utterly truly sucked save yourself dollars and your patience ,34,5.0
16203,i spent lot of time trying to find good portable speaker that sounded great and didn cost this is it it was worth the wait ll be getting second one as well ,32,5.0
8452,i rently sing the keyboard to type this reew if you notice any missing letters thts ply the adyig meai type this out dont know this is inditra atter sily ulty pd in all seriousness that speaks for itself just plugged the keyboard to charger to finish typing this review there may be some issue with the battery level indicator there no actual warning before that starts happening type at maybe wpm and the sentence above was gibberish dropped input after dropped input this keyboard is ok for casual webpage scrolling but don rely on it to do anything important after the first hour of use ,106,1.0
15672,it looks feels like top quality product the sound is very good ,12,5.0
13850,great headphones excellent sound quality,5,5.0
13261,overall the headset is honestly not bad for the pricing that it was it has good audio and all components are together ,22,5.0
12857,it was not eyeglasses friendly and caused headache after an hour ,11,5.0
15592,great sound however it didn come with charging cable for expected charging cable but it does sound great and it has an aux input ,24,5.0
4794,i tried to give this mouse some time tried it on different surfaces in all cases it skipped around and was very hard to work with unfortunately because of vacation and because tried to make it work missed the return window by one day that just frustrates me even more ,50,1.0
14453,this was gift for my son in law he loves it and uses it throughout the house ,17,5.0
3697,this is great mouse especially for the price it quickly responsive even after sleep mode like the look of it too ,21,2.0
5725,this came out of the box not working description and reviews are very misleading very cheap and glitchy ,18,4.0
4611,this product is slim and doesn fail easy click though and lights up charge lasts few day,17,5.0
11320,i received it and it wasn bengoo product and it didn light up like described ,15,5.0
3727,i wanted silent mouse due to classes using proctorio with professor who was huge on thinking sounds could be cheating absolutely loved how silent it is when you press the buttons only thing haven got to work as well is the wireless aspect but it doesn bother me just plug it in for charging wise and use it as wired mouse love the changing lights as well works well for my laptop loved having light up gaming mouse for my desktop and now have something similar to use for my laptop that quiet ,93,5.0
7307,love it great value,4,5.0
245,my first internal battery mouse liked the ergonomics but the charging was more frequent than would have liked the mouse was thrown in landfill mere months old because the wheel broke mouse not really going to miss you ,38,5.0
16531,really like the size of this speaker big sound in compact size ,12,3.0
6240,i bought this because hate using the mouse pad on my laptop and it great to throw in my laptop bag and pull out when need it it charges by plugging it into the laptop but haven had to do that yet besides giving it full charge when opened it up the first time it does go into sleep mode to save the battery which took minute to figure out but once you realize that it not broken just asleep it all good overall it just basic wireless mouse that works well and is sleek and portable ,97,5.0
4118,item received charger does not work,6,4.0
3620,wasn terrible but prefer gaming mice with at least the two buttons on the side,15,5.0
10009,the headphones are pretty and worked well in the beginning but now there echo don know why and what happened but the suck now ,24,3.0
8282,its only been couple of months since started using this keyboard but am not able to use it when it is plugged in for charging anymore this is really annoying as have to switch to different keyboard when this one dies not very reliable product ,45,5.0
4201,i did not like that it made very faint squealing noise the colors are pretty and the clicks are quiet but everytime the mouse moves you can hair high pitch noise the instructions were all in foreign language as well,40,5.0
6714,this product is very good and nice to hold and use will recommend this mouse to everybody ,17,2.0
2645,great,1,1.0
12750,quality is ok,3,1.0
11899,this is not good product we all know the number of good reviews online for this item are inflated by bots was feeling cheap and ordered this headset as replacement and it was even worse than expected the fit is terrible the materials are hilariously cheap and the mic was broken out of the box the joke is on me for ordering these be smarter than am ,67,5.0
3962,bought for work,3,4.0
12783,it works very well got it as gift for my boyfriend and he loves it,15,4.0
3391,i read the reviews and ordered two one for home one for office they both worked great for about weeks started having trouble with the charge not lasting and then by the time my return window expired they were both worthless can still plug in and the lights are pretty perhaps very weak night light that is what the star is for the pretty lights ,65,4.0
3399,the usb broke off in my computer and had trouble removing it finally got it out with finger nail clippers was happy with it until this happened ,27,5.0
2646,pros surprisingly the battery charge lasts me looooong time think it lasted me month on one charge one of the cheapest in the market cons the first one got didn work the replacement one worked but sometimes the scroll is backwards ,41,5.0
11568,best headset we have had so far durable microphone works well they are comfortable ,14,5.0
7942,it only worked for month do not recommend ,8,2.0
12733,bought or two month before christmas just wrapped it and put it in the closet my son opened them christmas day and was excited but when he went to use them they didn work and it was to far past to return them was very disappointed ,46,1.0
8082,no complaints with this purchase slim design makes it easy to pack and go,14,5.0
4577,just over month old and the roller no longer functions realize these are cheap but month use exclusively for work not heavy use ,23,5.0
5313,dies way too quickly the product itself is so light and feels cheaply constructed wish could have returned it ,19,3.0
9199,i don have to turn on my night light because the backlit keyboard is sufficient enough me to see the keys letters and numbers the touch of the keyboard is quiet enough for my roommate to sleep soundly ,38,3.0
126,i love the different colors easy to find at night holds charge for few days ,15,5.0
694,it is sleek don care that it hass to be charged every night my other mouse rarely has to be charged went back to that one so do not care for this mouse,33,1.0
4758,loved this mouse worked great after having it for months the scrolling piece in the middle broke was not rough with it did not drop it just stopped working out of nowhere ,32,1.0
12098,i love the quality of hearing evrything and they are nice looking ,12,4.0
11204,final update received new headset and surprise working mic this new headset also has better audio quality thankful they really care about their customers thank you update they saw my negative review and have emailed me to try to fix the problem with either refund or replacement excellent customer service ve decided to give them another chance and ask for replacement will update with the results for the price and what needed to do it works however the mic doesn even work at all ended up using my antlion mod mic wireless and it works fine the sound is okay but that what you get for choosing price over quality ,110,5.0
6305,wow you really can go wrong with this mouse bought it for work since they still have the wired mouse but the traction is horrible with this replacement no wires no cables only to charge it the traction is great very responsive ,42,1.0
7225,works great would prefer if it would not light up like rainbow ,12,2.0
5743,i just got new all in computer amd needed new mouse to bring some life to my conpletely white computer love the different colors it lights up also love the feel of the mouse and the size is perfect would recommend this mouse it affordable ,45,1.0
16027,awesome superquick,2,2.0
16079,i love it drounds out my neighbors yelling at me,10,5.0
2192, great design overall let see how long this mouse lasts me love that the noise clicking is very quiet also love the glossed turquoise color no problem connecting to the bluetooth on my computer ,34,5.0
5731,stopped working after two or so months of having it ,10,3.0
336,quality and matches the description like it ,7,1.0
