,cleaned_review,cleaned_review_length,review_score
7659,was so excited for this mouse loved the style and lights when ordered it once received it used it for approx half day and then it died and never turned back on charged it through the pc for quite while when realized it hadnt charged tried wall outlet never turned back on went through some of the reviews after and realized it was running theme and that many other customers had the same experience dont waste your time ,78,5.0
4971,starting using on april and when came back to my desk yesterday it had completely stopped working can not charge it tried on multiple computers and the computers won acknowledge it if it not plugged in directly which defeats the purpose of the wireless chargeable mouse don buy if you are looking for long term option and can find way to contact the company the only option amazon gives me is to leave review can not contact the seller ,79,2.0
4651,i have charged it and when unplug and turn on it flashes red then nothing tried turning off on and sitll nothing dongle is plugged in to laptop correctly if there is no tip to fix will be returing ,39,5.0
12110,this is an awesome headset for the price super comfortable great sound and just feels and looks nice definitely recommend especially for teen gamers ,24,5.0
12774,overall great product at great price ,6,5.0
10060,mic stopped working after use bought it in advance for birthday and can return it fun ,16,1.0
1727,the mouse looks great feels great but didn get more than few hours out of it before it died left it plugged in for several hours but it doesn stay on anymore despite several recharge attempts it just doesn turn on anymore ,42,1.0
7221,i was looking forward to not having to use batteries and not have to worry about wires it was great at first and really liked it then after about week the charge did not even last day and then it quit even charging don waste your money the only silver lining is that had used my reward points so there was no out of pocket ,65,3.0
9390,this keyboard works well my only complaint is the lights go off very quickly when you stop typing other than that its easy to recharge and looks good on my desk top ,32,5.0
2206, it good mouse led good im still trying learn how it works but so far so good for now,19,5.0
4705,i have bought several of these since this first one they work amazing have had no issues and recommend this seller and mouse brand alot the price is so good ,30,5.0
8965,i use this for everyday use mainly for the wireless capabilities since working remotely from lately this fits my needs perfectly definitely recommend ,23,1.0
2826,after less than months not only will it not hold charge doesn even work plugged into the laptop don buy ,20,1.0
3244,the mouse is very pretty and lights up pretty silent when in use its small in size,17,2.0
9222,i wanted to like this colorful keyboard unfortunately after troubleshooting for ages have been unable to fix this problem the keyboard literally just stopped working lights shut off and no connectivity regardless of the usb being connected regardless of restarting and updating my computer tried different usb ports on the off chance it was my computer but they are all working for other usb connected products have unfortunately come to the conclusion that the problem isn my computer but the keyboard don know if can return it this far out but will try ,93,1.0
9952,you get what you get for its price,8,2.0
9861,they do not work with an box one you have to buy adapter for them to work false advertising,19,1.0
8090,very good mouse excellent,4,5.0
12112,good sound but looks like you have helmet on it big ,11,5.0
912,hi love it but bought it because it changed colors and it only stays on red ,16,4.0
6274,love this mouse it small and slim works great and you can turn the lights on or off to meet your preference ,22,5.0
1501,it works great with lighting up clicking speed the scroll doesn work to move the screen up and down ,19,1.0
12949,cool colors lights up ,4,4.0
10777,imagine you are in game of league of legends you are in the first minutes you are carrying everyone you run top nasus scores kill you are now the team is up in kills you have just got the first tower rift is up it yours easy win now imagine the same game vayne goes afk mid team fight you get aced vayne returns and tells everyone that they are trash and throws up forfeit vote no big deal the time is now minutes and it time for dragon fight you are there the enemy jungle is warded river is warded and you have contributed your gold control ward to the occasion it time for the second team fight the enemy jungle jumps your adc nasus is there to wither and assist in the mean time your support alistar combos dragon you are in their back line doing work but there is too much crowd control you die your team splits up and falls apart aced ff vote comes in anyways these headsets can stand up to the toughest walls in the business new drywall no issue still going wooden aquarium stand pfft oh single pane window better order new window these things are stout with all the money you ve saved on replacement headsets you can now afford that therapist everyone has been telling you to get ,228,1.0
12251,it is nice,3,5.0
9374,i ve hooked this up to my ps to use while playing ffxiv and it seamlessly works to type better than the controller does still have to use the controller to get to the chat box but that doesn bug me love the coloring great for use in the dark ,50,5.0
7130,i like this for school,5,1.0
9173,easy to setup and use nice addition to my studio setup in progress ,13,1.0
2992,i use this mouse for basic tasks no gaming but like the fact that is rechargeable and seems to hold the charge long enough also like the silent mode so can work at night on bed without disturbing my wife ,40,1.0
17084,great sound my family loves it ,6,5.0
6888,i have been using this mouse for couple of weeks now love the rechargeable feature and the battery seems to last long time never turn it off highly recommend this one ,31,1.0
2958,great range finally we found wireless mouse that works well we use this for television viewing we have our laptop attached to our television we are good feet away from our television and laptop when we use this mouse again it has great range easy to use and works quickly highly recommended ,52,1.0
2073,great,1,1.0
5958,my boyfriend got me this as gift to help with my crafting love this color because it goes with my cricut also loved that it came with an adapter for my macbook air these newer macbooks require adapters for anything that is not charging port or the newer charging cords so seeing it come with an adapter is amazing don have to carry around my other adapter and its very easy to use love it thank you so much for thinking of us apple users ,85,3.0
16729,the speaker is very awesome with great quality sound it is bright red so it does not get misplaced any where in the office the portability of the speaker is pretty amazing too ,33,5.0
2209,great product and packaging overall durable materialssmooth point and silent click featureeasy to follow instructionsbright led lights make this mouse fun for any age bonus you can opt to turn the led function off if when needed tired of all that clicking this mouse is for you with the silent clickdefinitely product worth owning ,54,5.0
5418,very disappointed bought this for my kindergarten classroom and the kids loved it last week it totally went black no more cool lights no more nothing after months it does not work beware if you want to use if for long period of time ,44,1.0
15046,not waterproof started to sound fuzzy after months of using it great if it going to be indoors and not in extreme conditions ,23,1.0
12272,it works,2,5.0
10515,worked really well and enjoyed them for good two months until they just up and stopped working out of nowhere ,20,5.0
5398, chinese junk lasted month,4,4.0
15603,everything about rhis speaker love you get what you pay for is true here bought few different ones and borrows few friends speakers and compared them all and this one is well worth the cost the volume and sound range and clarity was noticeably better with this speaker compared to all the others the battery life is great ve had it at of max volume for about hours and it shows of leds lit highly recommend this to anyone looking for powerful portable speaker,84,5.0
14420,my grandson said it is very nice and is plenty loud enough he is happy with it ,17,5.0
15204,excellent very satisfied with this buy ,6,5.0
12846,it is headset for small kids if it breaks it headset for kids ,13,5.0
3680,there really nothing to dislike about it love the fact that don have to run out and buy batteries every time it starts to act like it not going to work the way it charges is one of the main reasons that bought it rather save the for batteries and get something else instead of worrying if have enough spare batteries have mouse pad that has breathing mode and the mouse goes along with its own pattern to make the two of them an excellent night light of sorts for the amount spent give this mouse also love the fact that it easy to pack it up with my laptop and go anywhere without worrying again if my mouse will run out of power think that there should be more accessories that can charge from usb port rather than lugging around extra batteries ,143,4.0
15817,i have smaller jbl and loved it so much so decided to purchase this one as well love love love this jbl it has just the right bass too ,29,5.0
7744,well enough,2,5.0
16064,it been almost an year since bought this product this is the one of best bluetooth speaker have ever bought amazing sound output and battery life is fantastic ,28,5.0
492,great purchase,2,4.0
12613,my son uses it to play his game on ps he loves it,13,5.0
8451,i admit the placement of the enter key is little weird but otherwise it great keyboard don use it for gaming it just my wireless keyboard use for remote work at home have long nails and consequently my typing can be really noisy so love how quiet the keys are on this keyboard after month battery life is really good so far and the colors are pretty ,67,1.0
579,this mouse last me like month or two im not able to scroll up using this mouse will not buy again,21,5.0
6754,there is so much to say about this bought this for my mom and she loves it it has nice design nice feel to it and works beautifully well worth the money spent thumbs up ,35,5.0
3713,i love this no more batteries and love how it lights up ,12,1.0
5788,is not usb it works well but plastic feels cheap and flymsy ,12,5.0
9294,ok product for price point wish battery lasted longer the keys are little awkward have to press harder than normal keyboard but for the price happy love it in the dark wish you could change the rainbow effect to solid color but happy overall use it for work so cannot give full review for gaming but did like the fact no software needed to be installed ,66,3.0
10629,all of my kids got these for their various electronics and no complaints great price nice design ,17,5.0
10299,solid gaming headset for very good price over the ear provides good noise cancellation the plastic materials used in the headset feel little cheap but ve had my headset for the last few years and it still works well,39,4.0
6733,this product already fell apart it very lightly used and the mouse is broken already ,15,4.0
5659,great purchage very satified,4,1.0
4419,bought this mouse on december its october and no matter how long charge it the only thing it does is blink the red light once and die don recommend this at all ,32,2.0
7426,extremely comfortable works great looks gorgeous and is rechargeable charges quickly and easily and the battery lasts long time ,19,2.0
3714,this mouse is garbage buyer beware doesn hold charge doesn move the cursor bought for separate computers and its the same for both amazon basics mouse is better,28,5.0
10035,easy to set up the ear pieces are soft and supple up and running in literally minutes the sound quality is seriously lacking horrible sound and absolutely nothing could do to fix it ,33,5.0
12154,my year old autistic son loves these headphones and tried them out as well just to make sure he wasn just saying he likes them just to appease me they re comfortable and not too loud even on the nintendo switch can still hear outside moises but it does not make me regret these headphones ,55,5.0
15171,this little box has great sound love it,8,3.0
16106,product was great the only thing jbl could of did was add the power brick and not just the usb cable also ppl to turn on the lower bass setting hold and bluetooth button for secs until the circle around the buttons light up wy ,45,5.0
13730,i do like how they light up but they add nothing to sound quality the sound quality seems good will update in few months on how they are holding up ,30,5.0
14003,really loved the led lights and the noise cancelling awesome,10,4.0
9835,excellent keyboard,2,5.0
9829,reasonably priced and beautiful chroma lighting effects on keyboard the keyboard is indeed silent but somehow the lack of tactile feedback sometimes makes one wonder if the keys had been depressed correctly ,32,5.0
12286,the colors and sounds are really great ,7,1.0
13398,it very good,3,3.0
7034,i really like this mouse pretty catchy color rose gold and it maneuvers so gentle and smoothly ,17,5.0
6264,usb adapter doesn work and light on mouse fuzzes out when plugged into different computer that allows for usb ,19,1.0
15795,sounds great and is very portable,6,5.0
14221,compact size big sound ,4,5.0
3986,i really like my new mouse its light and works better with my hand the sleep mode is awesome my kids love the colors did some gaming last night and it worked great play league of legends ,37,5.0
14127,this was such great deal that could not pass up the noises in the house have gone down from screaming to soft chatter in the background such pleasant surprise and what wonderful gift this has brought to my entire family ,40,5.0
1376,really cute mouse but only used it once and now it wont even turn on ,15,1.0
9868,i just got in today happy to start gaming with it the mic you can talk it static not is worth getting it just better off get dollars mic regret getting it but sound it good but everything else is bad,41,1.0
1030,the scroller doesn work mouse feels generic,7,1.0
15170,incredible sound ,2,4.0
16889,sounds great but not for the outdoor construction workers ,9,5.0
15012,i love this can have stereo quality music anywhere the charger lasts long time so thrilled with jbl charge you will be too recommend buying the carrying case also ,29,5.0
9076,my only real complaint is that every time you actually turn the switch off when you switch it back on it goes back to full lights that personal preference know but only turn the lights on occasionally you should also know that the positioning of the colors is not changeable they are on pulsing on off or off no ability to change any of the lights which is fine by me but might bother other people ,76,1.0
13716,great packaging quick and efficient shipping and came in great condition good bang for your buck highly recommend ,18,4.0
15801,i just received my charge but no usb charger came with it do this supposed to come with charger or just the speaker itself it ridiculous if it just sold for the speaker only and you have to to buy charger separately ,42,5.0
1771,fully charged would work with the mouse for hour minutes and then it would lag and hardly move or not move at all fully charged kept having to switch usb ports to get it working again which worked sometimes but then it again would get stuck lag or stop working have the latest mac software what don have is time for this mouse returned it bought another wireless usb mouse from another company that works perfectly ,76,1.0
8256,excellent,1,5.0
2939,the left mouse button is impossible to use cannot click and drag it does not respond to double click what nightmare would not recommend this at all was very excited for wireless no battery mouse will be returning this ,39,1.0
6851,i love this mouse the colors are beautiful and ve gotten many compliments on it it feels great to use as well took away one star because the charging cord stopping working about day after using it easily charges with any micro usb though it been couple months and still works being used every day at work ,57,1.0
12988,solid headset not bad for videos and music but it excels for video games with much needed audio awareness ,19,5.0
11199,all,1,3.0
10339,i purchased this as replacement for previous headset and you definitely get what you pay for this is poor quality and arrived in state where it constantly cut out and the microphone barely worked avoid this ,36,5.0
12596,this product is amazing it was for my daughter for her birthday and she cant stop talking about how great that they function awesome for gaming definitely has noise cancellation because she cant hear me when holler for her sound quality is amazing as well ,45,5.0
14868,i received my speaker went to use it and it kept crackling so had to send it back was not impressed with this product and then they wouldn let me exchange it for new one had to get refund,39,5.0
11307,my child loves this headset,5,5.0
10881,a friend recommended this pair to us as something that will last longer than just few months after year still uses this nearly every day and works well ,28,4.0
6529,it moves well and like that can turn it off if not using it ,14,2.0
16847,love it ,2,5.0
6229,the mouse clic is silent it feels very ergonomic at hand the battery lasts pretty good my daughter loves itthe lights are so nice specially at night with the room lights offgive it try,34,2.0
16960,great sound and the battery seems to last forever only wish you could change songs from the speaker itself but it got great quality sound ,25,5.0
14160,i bought this for my son but my husband liked them so much we got him pair to he likes them more them the gaming headset he has he also likes how easy he can go from console to pc with the included adapter ,44,5.0
7501,this mouse is just right to fit my hand light weight pretty lights ,13,1.0
10328,the noise canceling is false at first when used them they were good owned pairs of these and the same problem happened with both after while the sound only goes to one side you have to mess with the volume adjustment to get both sides to work if you move it even little it only works on one side again will not be buying again,65,1.0
13677,great,1,5.0
16299,best portable speaker ve ever purchased this thing booms ,9,5.0
16728,family time entertainment we use up battery quickly,8,5.0
14249,sounds so good and gets very loud bluetooth connects to both my iphone and my boyfriends android easily every time the battery life is amazing as well worth the money ,30,3.0
6909,it ok but getting the dongle out was quite the challenge not the greatest design on that part ,18,4.0
9431,this is exactly the keyboard was looking for soft keys press easily wireless and the rainbow lights are bonus got thro keyboards about every years next time will not have search for what want because will definitely be buying this one again they do not last forever and now that know exactly what works the best for me will go to this keyboard again and again for all future purchases saw alot of other cool stuff on their site so will be picking up few more items from klim soon ,90,5.0
7911,very light weight and low for click sounds long battery life easy to pair nice feeling of touch with my hand love to use this mouse for my wot game on my laptop ,33,1.0
4637,i saw all the positive reviews and thought this would be winner at first it was great loved the colors it is easy to use but after few months the scroll wheel stopped working dug little deeper into the reviews and realized this is common theme now have to buy another mouse already and it won be another one of these ,61,5.0
15091,i like because the battery long life more than hrs,10,5.0
8687,it very nice,3,5.0
7811,great mouse bought second one to take to work,9,5.0
16372,nice speaker big sound and good battery life ,8,5.0
11725,they work perfectly for my son and his online gaming needs good buy great seller,15,5.0
